sample,along_scan,along_track,scan_angle,pix_area
167,0.665985,0.733939,54.5749,0.488792365
168,0.665335,0.733671,54.566,0.488136995
169,0.664687,0.733404,54.5571,0.487484105
170,0.66404,0.733136,54.5482,0.486831629
171,0.663395,0.73287,54.5393,0.486182294
172,0.662751,0.732603,54.5304,0.485533371
173,0.662108,0.732337,54.5216,0.484886186
174,0.661466,0.732071,54.5127,0.484240076
175,0.660826,0.731805,54.5038,0.483595771
176,0.660187,0.73154,54.4949,0.482953198
177,0.659549,0.731275,54.486,0.482311695
178,0.658912,0.731009,54.4771,0.481670602
179,0.658277,0.730745,54.4682,0.481032626
180,0.657642,0.73048,54.4593,0.480394328
181,0.657009,0.730217,54.4504,0.479759141
182,0.656377,0.729953,54.4415,0.47912436
183,0.655746,0.729689,54.4326,0.478490643
184,0.655117,0.729426,54.4237,0.477859373
185,0.654489,0.729163,54.4148,0.477229163
186,0.653861,0.7289,54.4059,0.476599283
187,0.653236,0.728639,54.3971,0.475973226
188,0.652611,0.728377,54.3882,0.475346842
189,0.651988,0.728115,54.3793,0.474722243
190,0.651365,0.727853,54.3704,0.474097969
191,0.650744,0.727592,54.3615,0.473476128
192,0.650124,0.727331,54.3526,0.472855339
193,0.649505,0.72707,54.3437,0.4722356
194,0.648888,0.72681,54.3348,0.471618287
195,0.648271,0.72655,54.3259,0.471001295
196,0.647656,0.72629,54.317,0.470386076
197,0.647042,0.72603,54.3081,0.469771903
198,0.646429,0.725771,54.2992,0.469159422
199,0.645817,0.725512,54.2903,0.468547983
200,0.645206,0.725253,54.2815,0.467937587
201,0.644597,0.724995,54.2726,0.467329602
202,0.643989,0.724737,54.2637,0.466722656
203,0.643381,0.724479,54.2548,0.466116023
204,0.642775,0.724221,54.2459,0.465511153
205,0.64217,0.723964,54.237,0.464907962
206,0.641567,0.723707,54.2281,0.464306529
207,0.640963,0.723449,54.2192,0.463704041
208,0.640362,0.723193,54.2103,0.463105316
209,0.639761,0.722937,54.2014,0.462506898
210,0.639162,0.722681,54.1925,0.461910233
211,0.638564,0.722425,54.1836,0.461314598
212,0.637967,0.72217,54.1747,0.460720628
213,0.63737,0.721914,54.1658,0.460126326
214,0.636776,0.721659,54.157,0.459535131
215,0.636182,0.721405,54.1481,0.458944876
216,0.635589,0.72115,54.1392,0.458355007
217,0.634998,0.720896,54.1303,0.457767518
218,0.634407,0.720642,54.1214,0.457180329
219,0.633818,0.720389,54.1125,0.456595515
220,0.633229,0.720135,54.1036,0.456010366
221,0.632642,0.719882,54.0947,0.455427588
222,0.632056,0.719629,54.0858,0.454845827
223,0.631471,0.719377,54.0769,0.454265714
224,0.630887,0.719125,54.068,0.453686614
225,0.630303,0.718872,54.0591,0.453107178
226,0.629722,0.718621,54.0502,0.452531453
227,0.629141,0.718369,54.0413,0.451955391
228,0.628561,0.718118,54.0325,0.451380968
229,0.627982,0.717867,54.0236,0.450807554
230,0.627404,0.717616,54.0147,0.450235149
231,0.626828,0.717366,54.0058,0.449665095
232,0.626252,0.717115,53.9969,0.449094703
233,0.625678,0.716865,53.988,0.448526659
234,0.625104,0.716615,53.9791,0.447958903
235,0.624532,0.716366,53.9702,0.447393491
236,0.623961,0.716117,53.9613,0.446829079
237,0.62339,0.715868,53.9524,0.446264953
238,0.622821,0.715619,53.9435,0.445702541
239,0.622252,0.715371,53.9346,0.445141035
240,0.621686,0.715123,53.9257,0.444581957
241,0.621119,0.714875,53.9168,0.444022445
242,0.620554,0.714627,53.908,0.443464643
243,0.61999,0.71438,53.8991,0.442908456
244,0.619426,0.714132,53.8902,0.442351928
245,0.618864,0.713885,53.8813,0.441797727
246,0.618303,0.713639,53.8724,0.441245135
247,0.617743,0.713393,53.8635,0.440693532
248,0.617184,0.713146,53.8546,0.440142301
249,0.616626,0.7129,53.8457,0.439592675
250,0.616068,0.712655,53.8368,0.439043941
251,0.615513,0.712409,53.8279,0.438497001
252,0.614958,0.712164,53.819,0.437950949
253,0.614404,0.711919,53.8101,0.437405881
254,0.61385,0.711674,53.8012,0.436861085
255,0.613298,0.71143,53.7923,0.436318596
256,0.612747,0.711186,53.7835,0.435777088
257,0.612196,0.710942,53.7746,0.435235849
258,0.611647,0.710698,53.7657,0.4346963
259,0.611099,0.710455,53.7568,0.43415834
260,0.610551,0.710212,53.7479,0.433620647
261,0.610005,0.709969,53.739,0.43308464
262,0.60946,0.709726,53.7301,0.432549608
263,0.608915,0.709484,53.7212,0.43201545
264,0.608372,0.709242,53.7123,0.431482974
265,0.607829,0.708999,53.7034,0.430950153
266,0.607288,0.708758,53.6945,0.430420228
267,0.606748,0.708516,53.6856,0.429890666
268,0.606208,0.708275,53.6767,0.429361971
269,0.605669,0.708034,53.6679,0.428834245
270,0.605131,0.707793,53.659,0.428307486
271,0.604595,0.707553,53.6501,0.427783006
272,0.604059,0.707312,53.6412,0.427258179
273,0.603524,0.707072,53.6323,0.426734922
274,0.60299,0.706833,53.6234,0.426213231
275,0.602457,0.706593,53.6145,0.425691899
276,0.601925,0.706354,53.6056,0.425172131
277,0.601393,0.706115,53.5967,0.424652618
278,0.600863,0.705876,53.5878,0.424134771
279,0.600334,0.705637,53.5789,0.423617883
280,0.599806,0.705399,53.57,0.423102553
281,0.599278,0.705161,53.5611,0.422587474
282,0.598752,0.704923,53.5522,0.422074056
283,0.598226,0.704685,53.5434,0.421560889
284,0.597701,0.704448,53.5345,0.421049274
285,0.597177,0.704211,53.5256,0.420538612
286,0.596655,0.703974,53.5167,0.420029607
287,0.596132,0.703737,53.5078,0.419520145
288,0.595611,0.7035,53.4989,0.419012339
289,0.595091,0.703265,53.49,0.418506672
290,0.594572,0.703028,53.4811,0.418000764
291,0.594054,0.702793,53.4722,0.417496993
292,0.593536,0.702557,53.4633,0.416992872
293,0.593019,0.702322,53.4544,0.41649029
294,0.592504,0.702087,53.4455,0.415989356
295,0.591989,0.701852,53.4366,0.415488664
296,0.591475,0.701617,53.4277,0.414988915
297,0.590962,0.701383,53.4189,0.4144907
298,0.59045,0.701149,53.41,0.413993427
299,0.589938,0.700915,53.4011,0.413496393
300,0.589428,0.700681,53.3922,0.413001
301,0.588918,0.700448,53.3833,0.412506435
302,0.58841,0.700214,53.3744,0.41201292
303,0.587902,0.699981,53.3655,0.41152023
304,0.587395,0.699749,53.3566,0.411029064
305,0.586888,0.699516,53.3477,0.410537546
306,0.586384,0.699284,53.3388,0.410048949
307,0.585879,0.699052,53.3299,0.409559887
308,0.585376,0.69882,53.321,0.409072456
309,0.584873,0.698588,53.3121,0.408585259
310,0.58437,0.698356,53.3032,0.408098296
311,0.58387,0.698126,53.2944,0.407614828
312,0.58337,0.697894,53.2855,0.407130423
313,0.582871,0.697664,53.2766,0.406648113
314,0.582372,0.697433,53.2677,0.406165451
315,0.581874,0.697203,53.2588,0.405684298
316,0.581378,0.696973,53.2499,0.405204769
317,0.580882,0.696743,53.241,0.404725467
318,0.580387,0.696514,53.2321,0.404247671
319,0.579892,0.696284,53.2232,0.403769521
320,0.579399,0.696055,53.2143,0.403293571
321,0.578906,0.695826,53.2054,0.402817846
322,0.578415,0.695597,53.1965,0.402343739
323,0.577924,0.695368,53.1876,0.401869856
324,0.577434,0.69514,53.1787,0.401397471
325,0.576944,0.694912,53.1699,0.400925309
326,0.576456,0.694684,53.161,0.40045476
327,0.575969,0.694457,53.1521,0.399985704
328,0.575481,0.694229,53.1432,0.399515599
329,0.574996,0.694002,53.1343,0.399048374
330,0.57451,0.693775,53.1254,0.398580675
331,0.574026,0.693548,53.1165,0.398114584
332,0.573542,0.693322,53.1076,0.397649287
333,0.57306,0.693096,53.0987,0.397185594
334,0.572578,0.692869,53.0898,0.396721546
335,0.572096,0.692643,53.0809,0.39625829
336,0.571616,0.692418,53.072,0.395797207
337,0.571136,0.692192,53.0631,0.39533577
338,0.570657,0.691967,53.0542,0.394875812
339,0.57018,0.691742,53.0454,0.394417454
340,0.569702,0.691517,53.0365,0.393958618
341,0.569225,0.691292,53.0276,0.393500689
342,0.56875,0.691068,53.0187,0.393044925
343,0.568275,0.690844,53.0098,0.392589374
344,0.567801,0.69062,53.0009,0.392134727
345,0.567328,0.690396,52.992,0.391680982
346,0.566855,0.690172,52.9831,0.391227449
347,0.566383,0.689949,52.9742,0.390775384
348,0.565912,0.689726,52.9653,0.39032422
349,0.565443,0.689503,52.9564,0.389874645
350,0.564973,0.68928,52.9475,0.389424589
351,0.564504,0.689058,52.9386,0.388975997
352,0.564036,0.688836,52.9297,0.388528302
353,0.563569,0.688613,52.9209,0.38808094
354,0.563103,0.688392,52.912,0.3876356
